BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by Brown Harris Stevens,Co-op for sale,280000,1,1,1000,8015 6th Ave Apt A1,"Brooklyn, NY 11209"
Brokered by Top Choice Realty LLC,House for sale,899000,3,2,1440,40 Adelphi Ave,"Staten Island, NY 10309"
Built by Toll Brothers,For sale,2280000,2,2,1400,The Rockwell # 6E,"New York, NY 10025"
Brokered by Cross Country Realty,Coming Soon,649000,4,3,2184.207862,194 Carroll St,"Brooklyn, NY 11231"
Brokered by Charles Rutenberg Realty Inc,Pending,739000,6,4,2184.207862,38 Dare Ct,"Brooklyn, NY 11229"
Brokered by AmeriHomes Realty,House for sale,1495000,4,2.373860858,3000,31 4th Ct,"Staten Island, NY 10312"
Brokered by Douglas Elliman - 187 Seventh Ave,House for sale,3950000,5,2,3528,591 4th St,"Brooklyn, NY 11215"
Brokered by Avenues - Headquarters,Condo for sale,325000,2,1,979,122 E 102nd St Apt 5B,"New York, NY 10029"
Brokered by Corcoran Chelsea/Flatiron,Pending,299999,3,1,2184.207862,215 W 75th St Apt 4D,"New York, NY 10023"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2695000,6,5,4720,327 Convent Ave,"New York, NY 10031"
NoBroker,Pending,4800000,6,2.373860858,3958,1151 83rd St,"Brooklyn, NY 11228"
Brokered by Compass Realty Central Inc.,House for sale,694000,3,3,1360,364 Armstrong Ave,"Staten Island, NY 10308"
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,688888,4,2,2846,761 S Oak Dr,"Bronx, NY 10467"
Brokered by Sowae Corp,House for sale,400000,4,2,1980,781 Sheperd Ave,"Brooklyn, NY 11208"
Brokered by Sowae Corp,Multi-family home for sale,346000,5,2,2184.207862,103-12 104th St,"Ozone Park, NY 11417"
Brokered by Sowae Corp,House for sale,400000,4,2,1980,781 Sheperd Ave,"Brooklyn, NY 11208"
Brokered by Sowae Corp,Multi-family home for sale,346000,5,2,2184.207862,103-12 104th St,"Ozone Park, NY 11417"
Brokered by Sowae Corp,House for sale,265000,3,1,2184.207862,135-38 224th St,"Springfield Gardens, NY 11413"
Brokered by Winzone Realty Inc,House for sale,319000,3,2,1224,57 Neutral Ave,"Staten Island, NY 10306"
Brokered by Corcoran East Side,Townhouse for sale,24800000,6,8,2184.207862,45 E 74th St,"New York, NY 10021"
Brokered by Exp Realty,House for sale,1100000,9,4,3276,421 W 154th St,"New York, NY 10032"
Brokered by Sowae Corp,Multi-family home for sale,309000,6,2,2184.207862,2918 Brookhaven Ave,"Far Rockaway, NY 11691"
Brokered by Keller Williams Realty Liberty,House for sale,650000,3,2,1522,237-14 93rd Rd,"Bellerose, NY 11426"
Brokered by Rise Realty,House for sale,799000,4,2,1975,604 Lamont Ave,"Staten Island, NY 10312"
Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,259000,3,2,1089,7E Edgewater Park Unit E,"Bronx, NY 10465"
Brokered by DiTommaso Real Estate,House for sale,1195000,4,4,2704,52 Indale Ave,"Staten Island, NY 10309"
Brokered by Serhant,Condo for sale,17500000,5,6,5499,37 Warren St Unit Phcd,"New York, NY 10007"
Brokered by Salmon Realty Group,Condo for sale,189000,2,2,966,20 Cliff St Apt 6D,"Staten Island, NY 10305"
Brokered by Midas Realty,Condo for sale,759000,3,2,1200,206-04 Emily Rd Unit 37M,"Bayside, NY 11360"
Brokered by ONLY NINE REALTY LLC,House for sale,275000,4,1,2184.207862,579 E 29th St,"Brooklyn, NY 11210"
Brokered by COMPASS,Condo for sale,499000,1,1,630,157 E 72nd St Apt 8I,"Manhattan, NY 10021"
Brokered by TREBACH REALTY INC,House for sale,1249000,3,2.373860858,2184.207862,3021 Arlington Ave,"Bronx, NY 10463"
Brokered by Utopia Real Estate,Co-op for sale,69900,2,1,700,61 Edgewater Park Unit B,"Bronx, NY 10465"
Brokered by Rock Realty Inc,Multi-family home for sale,1150000,12,6,5508,32-40 48 St,"Astoria, NY 11103"
"Brokered by Island Advantage Rlty, Llc",Foreclosure,1749900,5,4,3740,517 W 142nd St,"New York, NY 10031"
Brokered by Charles H. Greenthal Property,Co-op for sale,1399000,3,4,1993,269-10 Grand Central Pkwy Unit 21W,"Floral Park, NY 11005"
Brokered by Douglas Elliman - Roslyn,Condo for sale,649000,3,2,1182,163-04 71st Ave Unit 122,"Fresh Meadows, NY 11365"
Brokered by WW Realty Group Inc,House for sale,499000,5,2,1760,2774 Marion Ave,"Bronx, NY 10458"
Brokered by Julia B. Fee Sotheby's International Realty,Multi-family home for sale,1050000,5,4,3132,2818 Miles Ave,"Bronx, NY 10465"
Brokered by COMPASS,Townhouse for sale,5000000,10,9,6425,137 W 80th St,"Manhattan, NY 10024"
Brokered by HOT HOMES REALTY LLC.,Pending,90000,1,1,660,16 Mapleton Ave,"Staten Island, NY 10306"
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,56000000,11,10,24000,9 W 54th St,"New York, NY 10019"
Brokered by Exp Realty,Townhouse for sale,650000,3,2.373860858,1638,1544 Ohm Ave,"Bronx, NY 10465"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,500000,4,3,1794,251 W 89th St Apt 6E,"New York, NY 10024"
Brokered by Real Estate Property Group LLC,House for sale,350000,2,1,490,750 Patterson Ave,"Staten Island, NY 10306"
Brokered by Corcoran Park Slope,House for sale,1099000,4,2,2184.207862,204-34 9th Ave,"Queens, NY 11697"
Brokered by RE MAX Boutique Realty,Co-op for sale,90000,1,1,450,1383 Plimpton Ave Apt 1C,"Bronx, NY 10452"
